"train/global_step","glad-glitter-9 - step","glad-glitter-9 - step__MIN","glad-glitter-9 - step__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - step","sleek-moon-7 - step__MIN","sleek-moon-7 - step__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - step","magic-universe-6 - step__MIN","magic-universe-6 - step__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - step","visionary-oath-5 - step__MIN","visionary-oath-5 - step__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","5010","5010","5010","1","1","1","4010","4010","4010","1","1","1","","","","","","","","","","","",""
"1","","","","","","","","","","","","","10","10","10","2","2","2","10","10","10","2","2","2"
"10","","","","","","","","","","","","","20","20","20","4","4","4","20","20","20","4","4","4"
"20","","","","","","","","","","","","","30","30","30","6","6","6","30","30","30","6","6","6"
"30","","","","","","","","","","","","","40","40","40","8","8","8","40","40","40","8","8","8"
"40","","","","","","","","","","","","","50","50","50","10","10","10","50","50","50","10","10","10"
"50","","","","","","","","","","","","","60","60","60","12","12","12","60","60","60","12","12","12"
"60","","","","","","","","","","","","","70","70","70","14","14","14","70","70","70","14","14","14"
"70","","","","","","","","","","","","","80","80","80","16","16","16","80","80","80","16","16","16"
"80","","","","","","","","","","","","","90","90","90","18","18","18","90","90","90","18","18","18"
"90","","","","","","","","","","","","","100","100","100","20","20","20","100","100","100","20","20","20"
"100","","","","","","","","","","","","","110","110","110","22","22","22","110","110","110","22","22","22"
"110","","","","","","","","","","","","","120","120","120","24","24","24","120","120","120","24","24","24"
"120","","","","","","","","","","","","","130","130","130","26","26","26","130","130","130","26","26","26"
"130","","","","","","","","","","","","","140","140","140","28","28","28","140","140","140","28","28","28"
"140","","","","","","","","","","","","","150","150","150","30","30","30","150","150","150","30","30","30"
"150","","","","","","","","","","","","","160","160","160","32","32","32","160","160","160","32","32","32"
"160","","","","","","","","","","","","","170","170","170","34","34","34","170","170","170","34","34","34"
"170","","","","","","","","","","","","","180","180","180","36","36","36","180","180","180","36","36","36"
"180","","","","","","","","","","","","","190","190","190","38","38","38","190","190","190","38","38","38"
"190","","","","","","","","","","","","","200","200","200","40","40","40","200","200","200","40","40","40"
"200","","","","","","","","","","","","","210","210","210","42","42","42","210","210","210","42","42","42"
"210","","","","","","","","","","","","","220","220","220","44","44","44","220","220","220","44","44","44"
"220","","","","","","","","","","","","","230","230","230","46","46","46","230","230","230","46","46","46"
"230","","","","","","","","","","","","","240","240","240","48","48","48","240","240","240","48","48","48"
"240","","","","","","","","","","","","","250","250","250","50","50","50","250","250","250","50","50","50"
"250","","","","","","","","","","","","","260","260","260","52","52","52","260","260","260","52","52","52"
"260","","","","","","","","","","","","","270","270","270","54","54","54","","","","","",""
"270","","","","","","","","","","","","","280","280","280","56","56","56","","","","","",""
"280","","","","","","","","","","","","","290","290","290","58","58","58","","","","","",""
"290","","","","","","","","","","","","","300","300","300","60","60","60","","","","","",""
"300","","","","","","","","","","","","","310","310","310","62","62","62","","","","","",""
"310","","","","","","","","","","","","","320","320","320","64","64","64","","","","","",""
"320","","","","","","","","","","","","","330","330","330","66","66","66","","","","","",""
"330","","","","","","","","","","","","","340","340","340","68","68","68","","","","","",""
"340","","","","","","","","","","","","","350","350","350","70","70","70","","","","","",""
"350","","","","","","","","","","","","","360","360","360","72","72","72","","","","","",""
"360","","","","","","","","","","","","","370","370","370","74","74","74","","","","","",""
"370","","","","","","","","","","","","","380","380","380","76","76","76","","","","","",""
"380","","","","","","","","","","","","","390","390","390","78","78","78","","","","","",""
"390","","","","","","","","","","","","","400","400","400","80","80","80","","","","","",""
"400","","","","","","","","","","","","","410","410","410","82","82","82","","","","","",""
"410","","","","","","","","","","","","","420","420","420","84","84","84","","","","","",""
"420","","","","","","","","","","","","","430","430","430","86","86","86","","","","","",""
"430","","","","","","","","","","","","","440","440","440","88","88","88","","","","","",""
"440","","","","","","","","","","","","","450","450","450","90","90","90","","","","","",""
"450","","","","","","","","","","","","","460","460","460","92","92","92","","","","","",""
"460","","","","","","","","","","","","","470","470","470","94","94","94","","","","","",""
"470","","","","","","","","","","","","","480","480","480","96","96","96","","","","","",""
"480","","","","","","","","","","","","","490","490","490","98","98","98","","","","","",""
"490","","","","","","","","","","","","","500","500","500","100","100","100","","","","","",""
"500","","","","","","","","","","","","","510","510","510","103","103","103","","","","","",""
"510","","","","","","","","","","","","","520","520","520","105","105","105","","","","","",""
"520","","","","","","","","","","","","","530","530","530","107","107","107","","","","","",""
"530","","","","","","","","","","","","","540","540","540","109","109","109","","","","","",""
"540","","","","","","","","","","","","","550","550","550","111","111","111","","","","","",""
"550","","","","","","","","","","","","","560","560","560","113","113","113","","","","","",""
"560","","","","","","","","","","","","","570","570","570","115","115","115","","","","","",""
"570","","","","","","","","","","","","","580","580","580","117","117","117","","","","","",""
"580","","","","","","","","","","","","","590","590","590","119","119","119","","","","","",""
"590","","","","","","","","","","","","","600","600","600","121","121","121","","","","","",""
"600","","","","","","","","","","","","","610","610","610","123","123","123","","","","","",""
"610","","","","","","","","","","","","","620","620","620","125","125","125","","","","","",""
"620","","","","","","","","","","","","","630","630","630","127","127","127","","","","","",""
"630","","","","","","","","","","","","","640","640","640","129","129","129","","","","","",""
"640","","","","","","","","","","","","","650","650","650","131","131","131","","","","","",""
"650","","","","","","","","","","","","","660","660","660","133","133","133","","","","","",""
