"train/global_step","glad-glitter-9 - train/bpt","glad-glitter-9 - train/bpt__MIN","glad-glitter-9 - train/bpt__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/bpt","sleek-moon-7 - train/bpt__MIN","sleek-moon-7 - train/bpt__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/bpt","magic-universe-6 - train/bpt__MIN","magic-universe-6 - train/bpt__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/bpt","visionary-oath-5 - train/bpt__MIN","visionary-oath-5 - train/bpt__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","0","0","0","1","1","1","0","0","0","1","1","1","","","","","","","","","","","",""
"1","","","","","","","","","","","","","4.657055944994383","4.657055944994383","4.657055944994383","2","2","2","4.942659966045611","4.942659966045611","4.942659966045611","2","2","2"
"10","","","","","","","","","","","","","4.980280635864714","4.980280635864714","4.980280635864714","4","4","4","5.088450843951387","5.088450843951387","5.088450843951387","4","4","4"
"20","","","","","","","","","","","","","4.992005297024228","4.992005297024228","4.992005297024228","6","6","6","4.993065810842509","4.993065810842509","4.993065810842509","6","6","6"
"30","","","","","","","","","","","","","5.039317861862708","5.039317861862708","5.039317861862708","8","8","8","4.9789186555686555","4.9789186555686555","4.9789186555686555","8","8","8"
"40","","","","","","","","","","","","","4.9358184274012284","4.9358184274012284","4.9358184274012284","10","10","10","5.102657558728152","5.102657558728152","5.102657558728152","10","10","10"
"50","","","","","","","","","","","","","4.878847867234776","4.878847867234776","4.878847867234776","12","12","12","5.021634743287114","5.021634743287114","5.021634743287114","12","12","12"
"60","","","","","","","","","","","","","4.865278023323339","4.865278023323339","4.865278023323339","14","14","14","4.83976405310254","4.83976405310254","4.83976405310254","14","14","14"
"70","","","","","","","","","","","","","4.893608656606909","4.893608656606909","4.893608656606909","16","16","16","4.90775911394766","4.90775911394766","4.90775911394766","16","16","16"
"80","","","","","","","","","","","","","4.886366123213774","4.886366123213774","4.886366123213774","18","18","18","4.85318915641501","4.85318915641501","4.85318915641501","18","18","18"
"90","","","","","","","","","","","","","4.740208387204524","4.740208387204524","4.740208387204524","20","20","20","4.732805703566907","4.732805703566907","4.732805703566907","20","20","20"
"100","","","","","","","","","","","","","4.950607834686465","4.950607834686465","4.950607834686465","22","22","22","4.82727618644421","4.82727618644421","4.82727618644421","22","22","22"
"110","","","","","","","","","","","","","4.8355500653980386","4.8355500653980386","4.8355500653980386","24","24","24","4.829487470575943","4.829487470575943","4.829487470575943","24","24","24"
"120","","","","","","","","","","","","","4.865251056443683","4.865251056443683","4.865251056443683","26","26","26","4.921825918927031","4.921825918927031","4.921825918927031","26","26","26"
"130","","","","","","","","","","","","","4.728108513406542","4.728108513406542","4.728108513406542","28","28","28","4.8290284832773205","4.8290284832773205","4.8290284832773205","28","28","28"
"140","","","","","","","","","","","","","4.824302124859369","4.824302124859369","4.824302124859369","30","30","30","4.769099271171545","4.769099271171545","4.769099271171545","30","30","30"
"150","","","","","","","","","","","","","4.712701069267165","4.712701069267165","4.712701069267165","32","32","32","4.78048369714194","4.78048369714194","4.78048369714194","32","32","32"
"160","","","","","","","","","","","","","4.722614424435139","4.722614424435139","4.722614424435139","34","34","34","4.64353487536273","4.64353487536273","4.64353487536273","34","34","34"
"170","","","","","","","","","","","","","4.7007921650047","4.7007921650047","4.7007921650047","36","36","36","4.715149551870969","4.715149551870969","4.715149551870969","36","36","36"
"180","","","","","","","","","","","","","4.728306637420336","4.728306637420336","4.728306637420336","38","38","38","4.713313602676478","4.713313602676478","4.713313602676478","38","38","38"
"190","","","","","","","","","","","","","4.731351693443453","4.731351693443453","4.731351693443453","40","40","40","4.7768651821677865","4.7768651821677865","4.7768651821677865","40","40","40"
"200","","","","","","","","","","","","","4.694435135884328","4.694435135884328","4.694435135884328","42","42","42","4.704776108715407","4.704776108715407","4.704776108715407","42","42","42"
"210","","","","","","","","","","","","","4.660036404333836","4.660036404333836","4.660036404333836","44","44","44","4.739454965607625","4.739454965607625","4.739454965607625","44","44","44"
"220","","","","","","","","","","","","","4.608804010916891","4.608804010916891","4.608804010916891","46","46","46","4.586304827772656","4.586304827772656","4.586304827772656","46","46","46"
"230","","","","","","","","","","","","","4.515169226136661","4.515169226136661","4.515169226136661","48","48","48","4.845873427205669","4.845873427205669","4.845873427205669","48","48","48"
"240","","","","","","","","","","","","","4.734372534309327","4.734372534309327","4.734372534309327","50","50","50","4.846947149291536","4.846947149291536","4.846947149291536","50","50","50"
"250","","","","","","","","","","","","","4.708224016899905","4.708224016899905","4.708224016899905","52","52","52","4.710286708021292","4.710286708021292","4.710286708021292","52","52","52"
"260","","","","","","","","","","","","","4.6906889409901735","4.6906889409901735","4.6906889409901735","54","54","54","","","","","",""
"270","","","","","","","","","","","","","4.800537149404784","4.800537149404784","4.800537149404784","56","56","56","","","","","",""
"280","","","","","","","","","","","","","4.731749592504489","4.731749592504489","4.731749592504489","58","58","58","","","","","",""
"290","","","","","","","","","","","","","4.656998502788995","4.656998502788995","4.656998502788995","60","60","60","","","","","",""
"300","","","","","","","","","","","","","4.720987606144098","4.720987606144098","4.720987606144098","62","62","62","","","","","",""
"310","","","","","","","","","","","","","4.643061579107555","4.643061579107555","4.643061579107555","64","64","64","","","","","",""
"320","","","","","","","","","","","","","4.674347562263552","4.674347562263552","4.674347562263552","66","66","66","","","","","",""
"330","","","","","","","","","","","","","4.7668516643039505","4.7668516643039505","4.7668516643039505","68","68","68","","","","","",""
"340","","","","","","","","","","","","","4.717265626407185","4.717265626407185","4.717265626407185","70","70","70","","","","","",""
"350","","","","","","","","","","","","","4.644972375151702","4.644972375151702","4.644972375151702","72","72","72","","","","","",""
"360","","","","","","","","","","","","","4.5959014596908006","4.5959014596908006","4.5959014596908006","74","74","74","","","","","",""
"370","","","","","","","","","","","","","4.766801032611536","4.766801032611536","4.766801032611536","76","76","76","","","","","",""
"380","","","","","","","","","","","","","4.635973692514076","4.635973692514076","4.635973692514076","78","78","78","","","","","",""
