"train/global_step","glad-glitter-9 - train/epoch","glad-glitter-9 - train/epoch__MIN","glad-glitter-9 - train/epoch__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/epoch","sleek-moon-7 - train/epoch__MIN","sleek-moon-7 - train/epoch__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/epoch","magic-universe-6 - train/epoch__MIN","magic-universe-6 - train/epoch__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/epoch","visionary-oath-5 - train/epoch__MIN","visionary-oath-5 - train/epoch__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1","","","","","","","","","","","","","0.00047058823529411766","0.00047058823529411766","0.00047058823529411766","1","1","1","0.00007700674771626864","0.00007700674771626864","0.00007700674771626864","1","1","1"
"10","","","","","","","","","","","","","0.004705882352941176","0.004705882352941176","0.004705882352941176","3","3","3","0.0007700674771626864","0.0007700674771626864","0.0007700674771626864","3","3","3"
"20","","","","","","","","","","","","","0.009411764705882352","0.009411764705882352","0.009411764705882352","5","5","5","0.0015401349543253727","0.0015401349543253727","0.0015401349543253727","5","5","5"
"30","","","","","","","","","","","","","0.01411764705882353","0.01411764705882353","0.01411764705882353","7","7","7","0.002310202431488059","0.002310202431488059","0.002310202431488059","7","7","7"
"40","","","","","","","","","","","","","0.018823529411764704","0.018823529411764704","0.018823529411764704","9","9","9","0.0030802699086507454","0.0030802699086507454","0.0030802699086507454","9","9","9"
"50","","","","","","","","","","","","","0.023529411764705882","0.023529411764705882","0.023529411764705882","11","11","11","0.003850337385813432","0.003850337385813432","0.003850337385813432","11","11","11"
"60","","","","","","","","","","","","","0.02823529411764706","0.02823529411764706","0.02823529411764706","13","13","13","0.004620404862976118","0.004620404862976118","0.004620404862976118","13","13","13"
"70","","","","","","","","","","","","","0.03294117647058824","0.03294117647058824","0.03294117647058824","15","15","15","0.005390472340138805","0.005390472340138805","0.005390472340138805","15","15","15"
"80","","","","","","","","","","","","","0.03764705882352941","0.03764705882352941","0.03764705882352941","17","17","17","0.006160539817301491","0.006160539817301491","0.006160539817301491","17","17","17"
"90","","","","","","","","","","","","","0.042352941176470586","0.042352941176470586","0.042352941176470586","19","19","19","0.006930607294464177","0.006930607294464177","0.006930607294464177","19","19","19"
"100","","","","","","","","","","","","","0.047058823529411764","0.047058823529411764","0.047058823529411764","21","21","21","0.007700674771626864","0.007700674771626864","0.007700674771626864","21","21","21"
"110","","","","","","","","","","","","","0.05176470588235294","0.05176470588235294","0.05176470588235294","23","23","23","0.00847074224878955","0.00847074224878955","0.00847074224878955","23","23","23"
"120","","","","","","","","","","","","","0.05647058823529412","0.05647058823529412","0.05647058823529412","25","25","25","0.009240809725952237","0.009240809725952237","0.009240809725952237","25","25","25"
"130","","","","","","","","","","","","","0.0611764705882353","0.0611764705882353","0.0611764705882353","27","27","27","0.010010877203114924","0.010010877203114924","0.010010877203114924","27","27","27"
"140","","","","","","","","","","","","","0.06588235294117648","0.06588235294117648","0.06588235294117648","29","29","29","0.01078094468027761","0.01078094468027761","0.01078094468027761","29","29","29"
"150","","","","","","","","","","","","","0.07058823529411765","0.07058823529411765","0.07058823529411765","31","31","31","0.011551012157440296","0.011551012157440296","0.011551012157440296","31","31","31"
"160","","","","","","","","","","","","","0.07529411764705882","0.07529411764705882","0.07529411764705882","33","33","33","0.012321079634602982","0.012321079634602982","0.012321079634602982","33","33","33"
"170","","","","","","","","","","","","","0.08","0.08","0.08","35","35","35","0.013091147111765669","0.013091147111765669","0.013091147111765669","35","35","35"
"180","","","","","","","","","","","","","0.08470588235294117","0.08470588235294117","0.08470588235294117","37","37","37","0.013861214588928354","0.013861214588928354","0.013861214588928354","37","37","37"
"190","","","","","","","","","","","","","0.08941176470588236","0.08941176470588236","0.08941176470588236","39","39","39","0.014631282066091041","0.014631282066091041","0.014631282066091041","39","39","39"
"200","","","","","","","","","","","","","0.09411764705882353","0.09411764705882353","0.09411764705882353","41","41","41","0.015401349543253728","0.015401349543253728","0.015401349543253728","41","41","41"
"210","","","","","","","","","","","","","0.0988235294117647","0.0988235294117647","0.0988235294117647","43","43","43","0.016171417020416416","0.016171417020416416","0.016171417020416416","43","43","43"
"220","","","","","","","","","","","","","0.10352941176470588","0.10352941176470588","0.10352941176470588","45","45","45","0.0169414844975791","0.0169414844975791","0.0169414844975791","45","45","45"
"230","","","","","","","","","","","","","0.10823529411764705","0.10823529411764705","0.10823529411764705","47","47","47","0.017711551974741786","0.017711551974741786","0.017711551974741786","47","47","47"
"240","","","","","","","","","","","","","0.11294117647058824","0.11294117647058824","0.11294117647058824","49","49","49","0.018481619451904473","0.018481619451904473","0.018481619451904473","49","49","49"
"250","","","","","","","","","","","","","0.11764705882352941","0.11764705882352941","0.11764705882352941","51","51","51","0.01925168692906716","0.01925168692906716","0.01925168692906716","51","51","51"
"260","","","","","","","","","","","","","0.1223529411764706","0.1223529411764706","0.1223529411764706","53","53","53","0.020021754406229848","0.020021754406229848","0.020021754406229848","53","53","53"
"270","","","","","","","","","","","","","0.12705882352941175","0.12705882352941175","0.12705882352941175","55","55","55","","","","","",""
"280","","","","","","","","","","","","","0.13176470588235295","0.13176470588235295","0.13176470588235295","57","57","57","","","","","",""
"290","","","","","","","","","","","","","0.13647058823529412","0.13647058823529412","0.13647058823529412","59","59","59","","","","","",""
"300","","","","","","","","","","","","","0.1411764705882353","0.1411764705882353","0.1411764705882353","61","61","61","","","","","",""
"310","","","","","","","","","","","","","0.14588235294117646","0.14588235294117646","0.14588235294117646","63","63","63","","","","","",""
"320","","","","","","","","","","","","","0.15058823529411763","0.15058823529411763","0.15058823529411763","65","65","65","","","","","",""
"330","","","","","","","","","","","","","0.15529411764705883","0.15529411764705883","0.15529411764705883","67","67","67","","","","","",""
"340","","","","","","","","","","","","","0.16","0.16","0.16","69","69","69","","","","","",""
"350","","","","","","","","","","","","","0.16470588235294117","0.16470588235294117","0.16470588235294117","71","71","71","","","","","",""
"360","","","","","","","","","","","","","0.16941176470588235","0.16941176470588235","0.16941176470588235","73","73","73","","","","","",""
"370","","","","","","","","","","","","","0.17411764705882352","0.17411764705882352","0.17411764705882352","75","75","75","","","","","",""
"380","","","","","","","","","","","","","0.17882352941176471","0.17882352941176471","0.17882352941176471","77","77","77","","","","","",""
"390","","","","","","","","","","","","","0.18352941176470589","0.18352941176470589","0.18352941176470589","79","79","79","","","","","",""
"400","","","","","","","","","","","","","0.18823529411764706","0.18823529411764706","0.18823529411764706","81","81","81","","","","","",""
"410","","","","","","","","","","","","","0.19294117647058823","0.19294117647058823","0.19294117647058823","83","83","83","","","","","",""
