"train/global_step","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","1","1","1","1","1","1","","","","","",""
"1","","","","","","","1.5","1","2","1.5","1","2"
"10","","","","","","","3.5","3","4","3.5","3","4"
"20","","","","","","","5.5","5","6","5.5","5","6"
"30","","","","","","","7.5","7","8","7.5","7","8"
"40","","","","","","","9.5","9","10","9.5","9","10"
"50","","","","","","","11.5","11","12","11.5","11","12"
"60","","","","","","","13.5","13","14","13.5","13","14"
"70","","","","","","","15.5","15","16","15.5","15","16"
"80","","","","","","","17.5","17","18","17.5","17","18"
"90","","","","","","","19.5","19","20","19.5","19","20"
"100","","","","","","","21.5","21","22","21.5","21","22"
"110","","","","","","","23.5","23","24","23.5","23","24"
"120","","","","","","","25.5","25","26","25.5","25","26"
"130","","","","","","","27.5","27","28","27.5","27","28"
"140","","","","","","","29.5","29","30","29.5","29","30"
"150","","","","","","","31.5","31","32","31.5","31","32"
"160","","","","","","","33.5","33","34","33.5","33","34"
"170","","","","","","","35.5","35","36","35.5","35","36"
"180","","","","","","","37.5","37","38","37.5","37","38"
"190","","","","","","","39.5","39","40","39.5","39","40"
"200","","","","","","","41.5","41","42","41.5","41","42"
"210","","","","","","","43.5","43","44","43.5","43","44"
"220","","","","","","","45.5","45","46","45.5","45","46"
"230","","","","","","","47.5","47","48","47.5","47","48"
"240","","","","","","","49.5","49","50","49.5","49","50"
"250","","","","","","","51.5","51","52","51.5","51","52"
"260","","","","","","","53.5","53","54","53","53","53"
"270","","","","","","","55.5","55","56","","",""
"280","","","","","","","57.5","57","58","","",""
"290","","","","","","","59.5","59","60","","",""
"300","","","","","","","61.5","61","62","","",""
"310","","","","","","","63.5","63","64","","",""
"320","","","","","","","65.5","65","66","","",""
"330","","","","","","","67.5","67","68","","",""
"340","","","","","","","69.5","69","70","","",""
"350","","","","","","","71.5","71","72","","",""
"360","","","","","","","73.5","73","74","","",""
"370","","","","","","","75.5","75","76","","",""
"380","","","","","","","77.5","77","78","","",""
"390","","","","","","","79.5","79","80","","",""
"400","","","","","","","81.5","81","82","","",""
"410","","","","","","","83.5","83","84","","",""
"420","","","","","","","85.5","85","86","","",""
"430","","","","","","","87.5","87","88","","",""
"440","","","","","","","89.5","89","90","","",""
"450","","","","","","","91.5","91","92","","",""
"460","","","","","","","93.5","93","94","","",""
"470","","","","","","","95.5","95","96","","",""
"480","","","","","","","97.5","97","98","","",""
"490","","","","","","","99.5","99","100","","",""
"500","","","","","","","102","101","103","","",""
