"train/global_step","glad-glitter-9 - train/grad_norm","glad-glitter-9 - train/grad_norm__MIN","glad-glitter-9 - train/grad_norm__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/grad_norm","sleek-moon-7 - train/grad_norm__MIN","sleek-moon-7 - train/grad_norm__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/grad_norm","magic-universe-6 - train/grad_norm__MIN","magic-universe-6 - train/grad_norm__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/grad_norm","visionary-oath-5 - train/grad_norm__MIN","visionary-oath-5 - train/grad_norm__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1","","","","","","","","","","","","","0.15810386836528778","0.15810386836528778","0.15810386836528778","1","1","1","0.18617235124111176","0.18617235124111176","0.18617235124111176","1","1","1"
"10","","","","","","","","","","","","","0.16489097476005554","0.16489097476005554","0.16489097476005554","3","3","3","0.185677170753479","0.185677170753479","0.185677170753479","3","3","3"
"20","","","","","","","","","","","","","0.14820459485054016","0.14820459485054016","0.14820459485054016","5","5","5","0.19363072514533997","0.19363072514533997","0.19363072514533997","5","5","5"
"30","","","","","","","","","","","","","0.17964331805706024","0.17964331805706024","0.17964331805706024","7","7","7","0.16505634784698486","0.16505634784698486","0.16505634784698486","7","7","7"
"40","","","","","","","","","","","","","0.2220902144908905","0.2220902144908905","0.2220902144908905","9","9","9","0.24149201810359955","0.24149201810359955","0.24149201810359955","9","9","9"
"50","","","","","","","","","","","","","0.2226332128047943","0.2226332128047943","0.2226332128047943","11","11","11","0.21404869854450226","0.21404869854450226","0.21404869854450226","11","11","11"
"60","","","","","","","","","","","","","0.23086214065551758","0.23086214065551758","0.23086214065551758","13","13","13","0.23993746936321259","0.23993746936321259","0.23993746936321259","13","13","13"
"70","","","","","","","","","","","","","0.2550310790538788","0.2550310790538788","0.2550310790538788","15","15","15","0.21358080208301544","0.21358080208301544","0.21358080208301544","15","15","15"
"80","","","","","","","","","","","","","0.30104824900627136","0.30104824900627136","0.30104824900627136","17","17","17","0.21829649806022644","0.21829649806022644","0.21829649806022644","17","17","17"
"90","","","","","","","","","","","","","0.2344624549150467","0.2344624549150467","0.2344624549150467","19","19","19","0.3213956356048584","0.3213956356048584","0.3213956356048584","19","19","19"
"100","","","","","","","","","","","","","0.24312962591648102","0.24312962591648102","0.24312962591648102","21","21","21","0.3292195498943329","0.3292195498943329","0.3292195498943329","21","21","21"
"110","","","","","","","","","","","","","0.3451330065727234","0.3451330065727234","0.3451330065727234","23","23","23","0.27555030584335327","0.27555030584335327","0.27555030584335327","23","23","23"
"120","","","","","","","","","","","","","0.27587005496025085","0.27587005496025085","0.27587005496025085","25","25","25","0.29597291350364685","0.29597291350364685","0.29597291350364685","25","25","25"
"130","","","","","","","","","","","","","0.24754305183887482","0.24754305183887482","0.24754305183887482","27","27","27","0.29878687858581543","0.29878687858581543","0.29878687858581543","27","27","27"
"140","","","","","","","","","","","","","0.283709853887558","0.283709853887558","0.283709853887558","29","29","29","0.2604028284549713","0.2604028284549713","0.2604028284549713","29","29","29"
"150","","","","","","","","","","","","","0.23265482485294342","0.23265482485294342","0.23265482485294342","31","31","31","0.28908100724220276","0.28908100724220276","0.28908100724220276","31","31","31"
"160","","","","","","","","","","","","","0.27704426646232605","0.27704426646232605","0.27704426646232605","33","33","33","0.2846215069293976","0.2846215069293976","0.2846215069293976","33","33","33"
"170","","","","","","","","","","","","","0.3015267848968506","0.3015267848968506","0.3015267848968506","35","35","35","0.2593250870704651","0.2593250870704651","0.2593250870704651","35","35","35"
"180","","","","","","","","","","","","","0.2501852810382843","0.2501852810382843","0.2501852810382843","37","37","37","0.22386769950389862","0.22386769950389862","0.22386769950389862","37","37","37"
"190","","","","","","","","","","","","","0.2713381052017212","0.2713381052017212","0.2713381052017212","39","39","39","0.24871589243412018","0.24871589243412018","0.24871589243412018","39","39","39"
"200","","","","","","","","","","","","","0.3264479637145996","0.3264479637145996","0.3264479637145996","41","41","41","0.29382872581481934","0.29382872581481934","0.29382872581481934","41","41","41"
"210","","","","","","","","","","","","","0.24516154825687408","0.24516154825687408","0.24516154825687408","43","43","43","0.27685806155204773","0.27685806155204773","0.27685806155204773","43","43","43"
"220","","","","","","","","","","","","","0.31944540143013","0.31944540143013","0.31944540143013","45","45","45","0.31791064143180847","0.31791064143180847","0.31791064143180847","45","45","45"
"230","","","","","","","","","","","","","0.23854787647724152","0.23854787647724152","0.23854787647724152","47","47","47","0.27119824290275574","0.27119824290275574","0.27119824290275574","47","47","47"
"240","","","","","","","","","","","","","0.22388684749603271","0.22388684749603271","0.22388684749603271","49","49","49","0.27738508582115173","0.27738508582115173","0.27738508582115173","49","49","49"
"250","","","","","","","","","","","","","0.23080937564373016","0.23080937564373016","0.23080937564373016","51","51","51","0.2820732891559601","0.2820732891559601","0.2820732891559601","51","51","51"
"260","","","","","","","","","","","","","0.2902233898639679","0.2902233898639679","0.2902233898639679","53","53","53","0.26361289620399475","0.26361289620399475","0.26361289620399475","53","53","53"
"270","","","","","","","","","","","","","0.2227235585451126","0.2227235585451126","0.2227235585451126","55","55","55","","","","","",""
"280","","","","","","","","","","","","","0.2635897994041443","0.2635897994041443","0.2635897994041443","57","57","57","","","","","",""
"290","","","","","","","","","","","","","0.2751876413822174","0.2751876413822174","0.2751876413822174","59","59","59","","","","","",""
"300","","","","","","","","","","","","","0.2775755226612091","0.2775755226612091","0.2775755226612091","61","61","61","","","","","",""
"310","","","","","","","","","","","","","0.27634161710739136","0.27634161710739136","0.27634161710739136","63","63","63","","","","","",""
"320","","","","","","","","","","","","","0.24698200821876526","0.24698200821876526","0.24698200821876526","65","65","65","","","","","",""
"330","","","","","","","","","","","","","0.24521107971668243","0.24521107971668243","0.24521107971668243","67","67","67","","","","","",""
"340","","","","","","","","","","","","","0.2978768050670624","0.2978768050670624","0.2978768050670624","69","69","69","","","","","",""
"350","","","","","","","","","","","","","0.2383982092142105","0.2383982092142105","0.2383982092142105","71","71","71","","","","","",""
"360","","","","","","","","","","","","","0.25548413395881653","0.25548413395881653","0.25548413395881653","73","73","73","","","","","",""
"370","","","","","","","","","","","","","0.243352010846138","0.243352010846138","0.243352010846138","75","75","75","","","","","",""
"380","","","","","","","","","","","","","0.2437228262424469","0.2437228262424469","0.2437228262424469","77","77","77","","","","","",""
"390","","","","","","","","","","","","","0.21765825152397156","0.21765825152397156","0.21765825152397156","79","79","79","","","","","",""
"400","","","","","","","","","","","","","0.25882163643836975","0.25882163643836975","0.25882163643836975","81","81","81","","","","","",""
"410","","","","","","","","","","","","","0.2961559295654297","0.2961559295654297","0.2961559295654297","83","83","83","","","","","",""
"420","","","","","","","","","","","","","0.30453744530677795","0.30453744530677795","0.30453744530677795","85","85","85","","","","","",""
"430","","","","","","","","","","","","","0.25581616163253784","0.25581616163253784","0.25581616163253784","87","87","87","","","","","",""
"440","","","","","","","","","","","","","0.21892468631267548","0.21892468631267548","0.21892468631267548","89","89","89","","","","","",""
