"train/global_step","glad-glitter-9 - train/learning_rate","glad-glitter-9 - train/learning_rate__MIN","glad-glitter-9 - train/learning_rate__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/learning_rate","sleek-moon-7 - train/learning_rate__MIN","sleek-moon-7 - train/learning_rate__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/learning_rate","magic-universe-6 - train/learning_rate__MIN","magic-universe-6 - train/learning_rate__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/learning_rate","visionary-oath-5 - train/learning_rate__MIN","visionary-oath-5 - train/learning_rate__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1","","","","","","","","","","","","","0","0","0","1","1","1","0","0","0","1","1","1"
"10","","","","","","","","","","","","","0.000026999999999999996","0.000026999999999999996","0.000026999999999999996","3","3","3","0.000026999999999999996","0.000026999999999999996","0.000026999999999999996","3","3","3"
"20","","","","","","","","","","","","","0.000056999999999999996","0.000056999999999999996","0.000056999999999999996","5","5","5","0.000056999999999999996","0.000056999999999999996","0.000056999999999999996","5","5","5"
"30","","","","","","","","","","","","","0.00008699999999999999","0.00008699999999999999","0.00008699999999999999","7","7","7","0.00008699999999999999","0.00008699999999999999","0.00008699999999999999","7","7","7"
"40","","","","","","","","","","","","","0.000117","0.000117","0.000117","9","9","9","0.000117","0.000117","0.000117","9","9","9"
"50","","","","","","","","","","","","","0.000147","0.000147","0.000147","11","11","11","0.000147","0.000147","0.000147","11","11","11"
"60","","","","","","","","","","","","","0.00017699999999999997","0.00017699999999999997","0.00017699999999999997","13","13","13","0.00017699999999999997","0.00017699999999999997","0.00017699999999999997","13","13","13"
"70","","","","","","","","","","","","","0.00020699999999999996","0.00020699999999999996","0.00020699999999999996","15","15","15","0.00020699999999999996","0.00020699999999999996","0.00020699999999999996","15","15","15"
"80","","","","","","","","","","","","","0.000237","0.000237","0.000237","17","17","17","0.000237","0.000237","0.000237","17","17","17"
"90","","","","","","","","","","","","","0.000267","0.000267","0.000267","19","19","19","0.000267","0.000267","0.000267","19","19","19"
"100","","","","","","","","","","","","","0.00029699999999999996","0.00029699999999999996","0.00029699999999999996","21","21","21","0.00029699999999999996","0.00029699999999999996","0.00029699999999999996","21","21","21"
"110","","","","","","","","","","","","","0.00029956972111553785","0.00029956972111553785","0.00029956972111553785","23","23","23","0.00029993051623861236","0.00029993051623861236","0.00029993051623861236","23","23","23"
"120","","","","","","","","","","","","","0.0002990916334661354","0.0002990916334661354","0.0002990916334661354","25","25","25","0.0002998533120592928","0.0002998533120592928","0.0002998533120592928","25","25","25"
"130","","","","","","","","","","","","","0.00029861354581673305","0.00029861354581673305","0.00029861354581673305","27","27","27","0.0002997761078799732","0.0002997761078799732","0.0002997761078799732","27","27","27"
"140","","","","","","","","","","","","","0.00029813545816733067","0.00029813545816733067","0.00029813545816733067","29","29","29","0.00029969890370065363","0.00029969890370065363","0.00029969890370065363","29","29","29"
