"train/global_step","glad-glitter-9 - train/loss","glad-glitter-9 - train/loss__MIN","glad-glitter-9 - train/loss__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/loss","sleek-moon-7 - train/loss__MIN","sleek-moon-7 - train/loss__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/loss","magic-universe-6 - train/loss__MIN","magic-universe-6 - train/loss__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/loss","visionary-oath-5 - train/loss__MIN","visionary-oath-5 - train/loss__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1","","","","","","","","","","","","","3.228025197982788","3.228025197982788","3.228025197982788","1","1","1","3.4259908199310303","3.4259908199310303","3.4259908199310303","1","1","1"
"10","","","","","","","","","","","","","3.4520674811469183","3.4520674811469183","3.4520674811469183","3","3","3","3.5270453559027777","3.5270453559027777","3.5270453559027777","3","3","3"
"20","","","","","","","","","","","","","3.460194396972656","3.460194396972656","3.460194396972656","5","5","5","3.4609294891357423","3.4609294891357423","3.4609294891357423","5","5","5"
"30","","","","","","","","","","","","","3.4929889678955077","3.4929889678955077","3.4929889678955077","7","7","7","3.4511234283447267","3.4511234283447267","3.4511234283447267","7","7","7"
"40","","","","","","","","","","","","","3.4212486267089846","3.4212486267089846","3.4212486267089846","9","9","9","3.5368927001953123","3.5368927001953123","3.5368927001953123","9","9","9"
"50","","","","","","","","","","","","","3.3817596435546875","3.3817596435546875","3.3817596435546875","11","11","11","3.480731964111328","3.480731964111328","3.480731964111328","11","11","11"
"60","","","","","","","","","","","","","3.372353744506836","3.372353744506836","3.372353744506836","13","13","13","3.3546688079833986","3.3546688079833986","3.3546688079833986","13","13","13"
"70","","","","","","","","","","","","","3.3919910430908202","3.3919910430908202","3.3919910430908202","15","15","15","3.4017993927001955","3.4017993927001955","3.4017993927001955","15","15","15"
"80","","","","","","","","","","","","","3.3869709014892577","3.3869709014892577","3.3869709014892577","17","17","17","3.363974380493164","3.363974380493164","3.363974380493164","17","17","17"
"90","","","","","","","","","","","","","3.285662078857422","3.285662078857422","3.285662078857422","19","19","19","3.2805309295654297","3.2805309295654297","3.2805309295654297","19","19","19"
"100","","","","","","","","","","","","","3.4314998626708983","3.4314998626708983","3.4314998626708983","21","21","21","3.3460128784179686","3.3460128784179686","3.3460128784179686","21","21","21"
"110","","","","","","","","","","","","","3.3517478942871093","3.3517478942871093","3.3517478942871093","23","23","23","3.347545623779297","3.347545623779297","3.347545623779297","23","23","23"
"120","","","","","","","","","","","","","3.3723350524902345","3.3723350524902345","3.3723350524902345","25","25","25","3.411549758911133","3.411549758911133","3.411549758911133","25","25","25"
"130","","","","","","","","","","","","","3.2772750854492188","3.2772750854492188","3.2772750854492188","27","27","27","3.3472274780273437","3.3472274780273437","3.3472274780273437","27","27","27"
"140","","","","","","","","","","","","","3.343951416015625","3.343951416015625","3.343951416015625","29","29","29","3.3056877136230467","3.3056877136230467","3.3056877136230467","29","29","29"
"150","","","","","","","","","","","","","3.266595458984375","3.266595458984375","3.266595458984375","31","31","31","3.313578796386719","3.313578796386719","3.313578796386719","31","31","31"
"160","","","","","","","","","","","","","3.273466873168945","3.273466873168945","3.273466873168945","33","33","33","3.218653106689453","3.218653106689453","3.218653106689453","33","33","33"
"170","","","","","","","","","","","","","3.258340835571289","3.258340835571289","3.258340835571289","35","35","35","3.2682926177978517","3.2682926177978517","3.2682926177978517","35","35","35"
"180","","","","","","","","","","","","","3.2774124145507812","3.2774124145507812","3.2774124145507812","37","37","37","3.267020034790039","3.267020034790039","3.267020034790039","37","37","37"
"190","","","","","","","","","","","","","3.2795230865478517","3.2795230865478517","3.2795230865478517","39","39","39","3.3110706329345705","3.3110706329345705","3.3110706329345705","39","39","39"
