"train/global_step","glad-glitter-9 - train/ppl","glad-glitter-9 - train/ppl__MIN","glad-glitter-9 - train/ppl__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/ppl","sleek-moon-7 - train/ppl__MIN","sleek-moon-7 - train/ppl__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/ppl","magic-universe-6 - train/ppl__MIN","magic-universe-6 - train/ppl__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/ppl","visionary-oath-5 - train/ppl__MIN","visionary-oath-5 - train/ppl__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","",""
"1","","","","","","","","","","","","","25.229783914296753","25.229783914296753","25.229783914296753","2","2","2","30.753100545918677","30.753100545918677","30.753100545918677","2","2","2"
"10","","","","","","","","","","","","","31.565586146259307","31.565586146259307","31.565586146259307","4","4","4","34.023292238461444","34.023292238461444","34.023292238461444","4","4","4"
"20","","","","","","","","","","","","","31.82316223980485","31.82316223980485","31.82316223980485","6","6","6","31.846563797068853","31.846563797068853","31.846563797068853","6","6","6"
"30","","","","","","","","","","","","","32.88409045103963","32.88409045103963","32.88409045103963","8","8","8","31.535800627968275","31.535800627968275","31.535800627968275","8","8","8"
"40","","","","","","","","","","","","","30.607608648953278","30.607608648953278","30.607608648953278","10","10","10","34.359986361806","34.359986361806","34.359986361806","10","10","10"
"50","","","","","","","","","","","","","29.422498699084404","29.422498699084404","29.422498699084404","12","12","12","32.48349012510535","32.48349012510535","32.48349012510535","12","12","12"
"60","","","","","","","","","","","","","29.147051093526684","29.147051093526684","29.147051093526684","14","14","14","28.636118566156195","28.636118566156195","28.636118566156195","14","14","14"
"70","","","","","","","","","","","","","29.72507730037841","29.72507730037841","29.72507730037841","16","16","16","30.018065768491613","30.018065768491613","30.018065768491613","16","16","16"
"80","","","","","","","","","","","","","29.57622714026152","29.57622714026152","29.57622714026152","18","18","18","28.903837752124105","28.903837752124105","28.903837752124105","18","18","18"
"90","","","","","","","","","","","","","26.726673623917456","26.726673623917456","26.726673623917456","20","20","20","26.58988630965928","26.58988630965928","26.58988630965928","20","20","20"
"100","","","","","","","","","","","","","30.922988220772794","30.922988220772794","30.922988220772794","22","22","22","28.389316034459494","28.389316034459494","28.389316034459494","22","22","22"
"110","","","","","","","","","","","","","28.552596974290566","28.552596974290566","28.552596974290566","24","24","24","28.432862991595435","28.432862991595435","28.432862991595435","24","24","24"
"120","","","","","","","","","","","","","29.14650628145559","29.14650628145559","29.14650628145559","26","26","26","30.31218445498701","30.31218445498701","30.31218445498701","26","26","26"
"130","","","","","","","","","","","","","26.503454565262263","26.503454565262263","26.503454565262263","28","28","28","28.423818635806764","28.423818635806764","28.423818635806764","28","28","28"
"140","","","","","","","","","","","","","28.33085280740237","28.33085280740237","28.33085280740237","30","30","30","27.26728722713648","27.26728722713648","27.26728722713648","30","30","30"
"150","","","","","","","","","","","","","26.22191362243995","26.22191362243995","26.22191362243995","32","32","32","27.48330684076552","27.48330684076552","27.48330684076552","32","32","32"
"160","","","","","","","","","","","","","26.402715723311562","26.402715723311562","26.402715723311562","34","34","34","24.99443266552762","24.99443266552762","24.99443266552762","34","34","34"
"170","","","","","","","","","","","","","26.006352512214974","26.006352512214974","26.006352512214974","36","36","36","26.266454159742196","26.266454159742196","26.266454159742196","36","36","36"
"180","","","","","","","","","","","","","26.50709451079552","26.50709451079552","26.50709451079552","38","38","38","26.233049176318342","26.233049176318342","26.233049176318342","38","38","38"
