"train/global_step","glad-glitter-9 - train/sequence_loss","glad-glitter-9 - train/sequence_loss__MIN","glad-glitter-9 - train/sequence_loss__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/sequence_loss","sleek-moon-7 - train/sequence_loss__MIN","sleek-moon-7 - train/sequence_loss__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/sequence_loss","magic-universe-6 - train/sequence_loss__MIN","magic-universe-6 - train/sequence_loss__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/sequence_loss","visionary-oath-5 - train/sequence_loss__MIN","visionary-oath-5 - train/sequence_loss__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","0","0","0","1","1","1","0","0","0","1","1","1","","","","","","","","","","","",""
"1","","","","","","","","","","","","","3.228025197982788","3.228025197982788","3.228025197982788","2","2","2","3.4259908199310303","3.4259908199310303","3.4259908199310303","2","2","2"
"10","","","","","","","","","","","","","3.4520674811469183","3.4520674811469183","3.4520674811469183","4","4","4","3.5270453559027777","3.5270453559027777","3.5270453559027777","4","4","4"
"20","","","","","","","","","","","","","3.460194396972656","3.460194396972656","3.460194396972656","6","6","6","3.4609294891357423","3.4609294891357423","3.4609294891357423","6","6","6"
"30","","","","","","","","","","","","","3.4929889678955077","3.4929889678955077","3.4929889678955077","8","8","8","3.4511234283447267","3.4511234283447267","3.4511234283447267","8","8","8"
"40","","","","","","","","","","","","","3.4212486267089846","3.4212486267089846","3.4212486267089846","10","10","10","3.5368927001953123","3.5368927001953123","3.5368927001953123","10","10","10"
"50","","","","","","","","","","","","","3.3817596435546875","3.3817596435546875","3.3817596435546875","12","12","12","3.480731964111328","3.480731964111328","3.480731964111328","12","12","12"
"60","","","","","","","","","","","","","3.372353744506836","3.372353744506836","3.372353744506836","14","14","14","3.3546688079833986","3.3546688079833986","3.3546688079833986","14","14","14"
"70","","","","","","","","","","","","","3.3919910430908202","3.3919910430908202","3.3919910430908202","16","16","16","3.4017993927001955","3.4017993927001955","3.4017993927001955","16","16","16"
"80","","","","","","","","","","","","","3.3869709014892577","3.3869709014892577","3.3869709014892577","18","18","18","3.363974380493164","3.363974380493164","3.363974380493164","18","18","18"
"90","","","","","","","","","","","","","3.285662078857422","3.285662078857422","3.285662078857422","20","20","20","3.2805309295654297","3.2805309295654297","3.2805309295654297","20","20","20"
"100","","","","","","","","","","","","","3.4314998626708983","3.4314998626708983","3.4314998626708983","22","22","22","3.3460128784179686","3.3460128784179686","3.3460128784179686","22","22","22"
"110","","","","","","","","","","","","","3.3517478942871093","3.3517478942871093","3.3517478942871093","24","24","24","3.347545623779297","3.347545623779297","3.347545623779297","24","24","24"
"120","","","","","","","","","","","","","3.3723350524902345","3.3723350524902345","3.3723350524902345","26","26","26","3.411549758911133","3.411549758911133","3.411549758911133","26","26","26"
"130","","","","","","","","","","","","","3.2772750854492188","3.2772750854492188","3.2772750854492188","28","28","28","3.3472274780273437","3.3472274780273437","3.3472274780273437","28","28","28"
"140","","","","","","","","","","","","","3.343951416015625","3.343951416015625","3.343951416015625","30","30","30","3.3056877136230467","3.3056877136230467","3.3056877136230467","30","30","30"
"150","","","","","","","","","","","","","3.266595458984375","3.266595458984375","3.266595458984375","32","32","32","3.313578796386719","3.313578796386719","3.313578796386719","32","32","32"
"160","","","","","","","","","","","","","3.273466873168945","3.273466873168945","3.273466873168945","34","34","34","3.218653106689453","3.218653106689453","3.218653106689453","34","34","34"
"170","","","","","","","","","","","","","3.258340835571289","3.258340835571289","3.258340835571289","36","36","36","3.2682926177978517","3.2682926177978517","3.2682926177978517","36","36","36"
"180","","","","","","","","","","","","","3.2774124145507812","3.2774124145507812","3.2774124145507812","38","38","38","3.267020034790039","3.267020034790039","3.267020034790039","38","38","38"
"190","","","","","","","","","","","","","3.2795230865478517","3.2795230865478517","3.2795230865478517","40","40","40","3.3110706329345705","3.3110706329345705","3.3110706329345705","40","40","40"
"200","","","","","","","","","","","","","3.2539344787597657","3.2539344787597657","3.2539344787597657","42","42","42","3.261102294921875","3.261102294921875","3.261102294921875","42","42","42"
"210","","","","","","","","","","","","","3.230091094970703","3.230091094970703","3.230091094970703","44","44","44","3.2851398468017576","3.2851398468017576","3.2851398468017576","44","44","44"
"220","","","","","","","","","","","","","3.19457950592041","3.19457950592041","3.19457950592041","46","46","46","3.178984260559082","3.178984260559082","3.178984260559082","46","46","46"
"230","","","","","","","","","","","","","3.1296768188476562","3.1296768188476562","3.1296768188476562","48","48","48","3.358903503417969","3.358903503417969","3.358903503417969","48","48","48"
"240","","","","","","","","","","","","","3.281616973876953","3.281616973876953","3.281616973876953","50","50","50","3.359647750854492","3.359647750854492","3.359647750854492","50","50","50"
"250","","","","","","","","","","","","","3.263492202758789","3.263492202758789","3.263492202758789","52","52","52","3.264921951293945","3.264921951293945","3.264921951293945","52","52","52"
"260","","","","","","","","","","","","","3.2513378143310545","3.2513378143310545","3.2513378143310545","54","54","54","","","","","",""
"270","","","","","","","","","","","","","3.327478790283203","3.327478790283203","3.327478790283203","56","56","56","","","","","",""
"280","","","","","","","","","","","","","3.279798889160156","3.279798889160156","3.279798889160156","58","58","58","","","","","",""
"290","","","","","","","","","","","","","3.227985382080078","3.227985382080078","3.227985382080078","60","60","60","","","","","",""
"300","","","","","","","","","","","","","3.2723392486572265","3.2723392486572265","3.2723392486572265","62","62","62","","","","","",""
"310","","","","","","","","","","","","","3.2183250427246093","3.2183250427246093","3.2183250427246093","64","64","64","","","","","",""
"320","","","","","","","","","","","","","3.2400108337402345","3.2400108337402345","3.2400108337402345","66","66","66","","","","","",""
"330","","","","","","","","","","","","","3.304129791259766","3.304129791259766","3.304129791259766","68","68","68","","","","","",""
"340","","","","","","","","","","","","","3.2697593688964846","3.2697593688964846","3.2697593688964846","70","70","70","","","","","",""
"350","","","","","","","","","","","","","3.2196495056152346","3.2196495056152346","3.2196495056152346","72","72","72","","","","","",""
"360","","","","","","","","","","","","","3.1856361389160157","3.1856361389160157","3.1856361389160157","74","74","74","","","","","",""
"370","","","","","","","","","","","","","3.304094696044922","3.304094696044922","3.304094696044922","76","76","76","","","","","",""
"380","","","","","","","","","","","","","3.2134120941162108","3.2134120941162108","3.2134120941162108","78","78","78","","","","","",""
"390","","","","","","","","","","","","","3.2331756591796874","3.2331756591796874","3.2331756591796874","80","80","80","","","","","",""
"400","","","","","","","","","","","","","3.202976608276367","3.202976608276367","3.202976608276367","82","82","82","","","","","",""
"410","","","","","","","","","","","","","3.2634609222412108","3.2634609222412108","3.2634609222412108","84","84","84","","","","","",""
"420","","","","","","","","","","","","","3.2306453704833986","3.2306453704833986","3.2306453704833986","86","86","86","","","","","",""
"430","","","","","","","","","","","","","3.192137336730957","3.192137336730957","3.192137336730957","88","88","88","","","","","",""
"440","","","","","","","","","","","","","3.200307846069336","3.200307846069336","3.200307846069336","90","90","90","","","","","",""
"450","","","","","","","","","","","","","3.2084964752197265","3.2084964752197265","3.2084964752197265","92","92","92","","","","","",""
"460","","","","","","","","","","","","","3.2873920440673827","3.2873920440673827","3.2873920440673827","94","94","94","","","","","",""
"470","","","","","","","","","","","","","3.183315658569336","3.183315658569336","3.183315658569336","96","96","96","","","","","",""
"480","","","","","","","","","","","","","3.2174896240234374","3.2174896240234374","3.2174896240234374","98","98","98","","","","","",""
"490","","","","","","","","","","","","","3.154165840148926","3.154165840148926","3.154165840148926","100","100","100","","","","","",""
"500","","","","","","","","","","","","","0","0","0","103","103","103","","","","","",""
"510","","","","","","","","","","","","","3.156157684326172","3.156157684326172","3.156157684326172","105","105","105","","","","","",""
"520","","","","","","","","","","","","","3.2864711761474608","3.2864711761474608","3.2864711761474608","107","107","107","","","","","",""
"530","","","","","","","","","","","","","3.185456085205078","3.185456085205078","3.185456085205078","109","109","109","","","","","",""
"540","","","","","","","","","","","","","3.142414093017578","3.142414093017578","3.142414093017578","111","111","111","","","","","",""
"550","","","","","","","","","","","","","3.224211502075195","3.224211502075195","3.224211502075195","113","113","113","","","","","",""
"560","","","","","","","","","","","","","3.2412082672119142","3.2412082672119142","3.2412082672119142","115","115","115","","","","","",""
"570","","","","","","","","","","","","","3.2611129760742186","3.2611129760742186","3.2611129760742186","117","117","117","","","","","",""
"580","","","","","","","","","","","","","3.2765056610107424","3.2765056610107424","3.2765056610107424","119","119","119","","","","","",""
"590","","","","","","","","","","","","","3.167789268493652","3.167789268493652","3.167789268493652","121","121","121","","","","","",""
"600","","","","","","","","","","","","","3.193355941772461","3.193355941772461","3.193355941772461","123","123","123","","","","","",""
"610","","","","","","","","","","","","","3.208603286743164","3.208603286743164","3.208603286743164","125","125","125","","","","","",""
"620","","","","","","","","","","","","","3.2556182861328127","3.2556182861328127","3.2556182861328127","127","127","127","","","","","",""
"630","","","","","","","","","","","","","3.1736602783203125","3.1736602783203125","3.1736602783203125","129","129","129","","","","","",""
"640","","","","","","","","","","","","","3.226607894897461","3.226607894897461","3.226607894897461","131","131","131","","","","","",""
"650","","","","","","","","","","","","","3.240133285522461","3.240133285522461","3.240133285522461","133","133","133","","","","","",""
"660","","","","","","","","","","","","","3.1966854095458985","3.1966854095458985","3.1966854095458985","135","135","135","","","","","",""
"670","","","","","","","","","","","","","3.1724151611328124","3.1724151611328124","3.1724151611328124","137","137","137","","","","","",""
"680","","","","","","","","","","","","","3.241029739379883","3.241029739379883","3.241029739379883","139","139","139","","","","","",""
"690","","","","","","","","","","","","","3.19107666015625","3.19107666015625","3.19107666015625","141","141","141","","","","","",""
"700","","","","","","","","","","","","","3.238327407836914","3.238327407836914","3.238327407836914","143","143","143","","","","","",""
"710","","","","","","","","","","","","","3.1332418441772463","3.1332418441772463","3.1332418441772463","145","145","145","","","","","",""
"720","","","","","","","","","","","","","3.2092700958251954","3.2092700958251954","3.2092700958251954","147","147","147","","","","","",""
"730","","","","","","","","","","","","","3.1742136001586916","3.1742136001586916","3.1742136001586916","149","149","149","","","","","",""
"740","","","","","","","","","","","","","3.2110939025878906","3.2110939025878906","3.2110939025878906","151","151","151","","","","","",""
"750","","","","","","","","","","","","","3.1937240600585937","3.1937240600585937","3.1937240600585937","153","153","153","","","","","",""
"760","","","","","","","","","","","","","3.167378234863281","3.167378234863281","3.167378234863281","155","155","155","","","","","",""
"770","","","","","","","","","","","","","3.1951356887817384","3.1951356887817384","3.1951356887817384","157","157","157","","","","","",""
"780","","","","","","","","","","","","","3.218361663818359","3.218361663818359","3.218361663818359","159","159","159","","","","","",""
"790","","","","","","","","","","","","","3.2172920227050783","3.2172920227050783","3.2172920227050783","161","161","161","","","","","",""
"800","","","","","","","","","","","","","3.175762748718262","3.175762748718262","3.175762748718262","163","163","163","","","","","",""
"810","","","","","","","","","","","","","3.248086929321289","3.248086929321289","3.248086929321289","165","165","165","","","","","",""
"820","","","","","","","","","","","","","3.1792287826538086","3.1792287826538086","3.1792287826538086","167","167","167","","","","","",""
"830","","","","","","","","","","","","","3.2666492462158203","3.2666492462158203","3.2666492462158203","169","169","169","","","","","",""
"840","","","","","","","","","","","","","3.1650033950805665","3.1650033950805665","3.1650033950805665","171","171","171","","","","","",""
"850","","","","","","","","","","","","","3.1994602203369142","3.1994602203369142","3.1994602203369142","173","173","173","","","","","",""
"860","","","","","","","","","","","","","3.1780166625976562","3.1780166625976562","3.1780166625976562","175","175","175","","","","","",""
"870","","","","","","","","","","","","","3.1410682678222654","3.1410682678222654","3.1410682678222654","177","177","177","","","","","",""
"880","","","","","","","","","","","","","3.2417797088623046","3.2417797088623046","3.2417797088623046","179","179","179","","","","","",""
"890","","","","","","","","","","","","","3.208910369873047","3.208910369873047","3.208910369873047","181","181","181","","","","","",""
"900","","","","","","","","","","","","","3.1201156616210937","3.1201156616210937","3.1201156616210937","183","183","183","","","","","",""
"910","","","","","","","","","","","","","3.2075515747070313","3.2075515747070313","3.2075515747070313","185","185","185","","","","","",""
"920","","","","","","","","","","","","","3.184940147399902","3.184940147399902","3.184940147399902","187","187","187","","","","","",""
"930","","","","","","","","","","","","","3.191668891906738","3.191668891906738","3.191668891906738","189","189","189","","","","","",""
"940","","","","","","","","","","","","","3.1976484298706054","3.1976484298706054","3.1976484298706054","191","191","191","","","","","",""
"950","","","","","","","","","","","","","3.200267028808594","3.200267028808594","3.200267028808594","193","193","193","","","","","",""
"960","","","","","","","","","","","","","3.1094812393188476","3.1094812393188476","3.1094812393188476","195","195","195","","","","","",""
"970","","","","","","","","","","","","","3.167946624755859","3.167946624755859","3.167946624755859","197","197","197","","","","","",""
"980","","","","","","","","","","","","","3.1677791595458986","3.1677791595458986","3.1677791595458986","199","199","199","","","","","",""
"990","","","","","","","","","","","","","3.202132797241211","3.202132797241211","3.202132797241211","201","201","201","","","","","",""
"1000","","","","","","","","","","","","","0","0","0","204","204","204","","","","","",""
"1010","","","","","","","","","","","","","3.169524002075195","3.169524002075195","3.169524002075195","206","206","206","","","","","",""
"1020","","","","","","","","","","","","","3.2150901794433593","3.2150901794433593","3.2150901794433593","208","208","208","","","","","",""
"1030","","","","","","","","","","","","","3.2112186431884764","3.2112186431884764","3.2112186431884764","210","210","210","","","","","",""
"1040","","","","","","","","","","","","","3.1141910552978516","3.1141910552978516","3.1141910552978516","212","212","212","","","","","",""
"1050","","","","","","","","","","","","","3.24749870300293","3.24749870300293","3.24749870300293","214","214","214","","","","","",""
"1060","","","","","","","","","","","","","3.2090320587158203","3.2090320587158203","3.2090320587158203","216","216","216","","","","","",""
"1070","","","","","","","","","","","","","3.1541553497314454","3.1541553497314454","3.1541553497314454","218","218","218","","","","","",""
"1080","","","","","","","","","","","","","3.2209098815917967","3.2209098815917967","3.2209098815917967","220","220","220","","","","","",""
"1090","","","","","","","","","","","","","3.1484283447265624","3.1484283447265624","3.1484283447265624","222","222","222","","","","","",""
"1100","","","","","","","","","","","","","3.199581527709961","3.199581527709961","3.199581527709961","224","224","224","","","","","",""
"1110","","","","","","","","","","","","","3.2009815216064452","3.2009815216064452","3.2009815216064452","226","226","226","","","","","",""
"1120","","","","","","","","","","","","","3.170574188232422","3.170574188232422","3.170574188232422","228","228","228","","","","","",""
"1130","","","","","","","","","","","","","3.233591079711914","3.233591079711914","3.233591079711914","230","230","230","","","","","",""
"1140","","","","","","","","","","","","","3.125829315185547","3.125829315185547","3.125829315185547","232","232","232","","","","","",""
"1150","","","","","","","","","","","","","3.2570175170898437","3.2570175170898437","3.2570175170898437","234","234","234","","","","","",""
"1160","","","","","","","","","","","","","3.174348068237305","3.174348068237305","3.174348068237305","236","236","236","","","","","",""
"1170","","","","","","","","","","","","","3.176557731628418","3.176557731628418","3.176557731628418","238","238","238","","","","","",""
"1180","","","","","","","","","","","","","3.211957550048828","3.211957550048828","3.211957550048828","240","240","240","","","","","",""
"1190","","","","","","","","","","","","","3.202799606323242","3.202799606323242","3.202799606323242","242","242","242","","","","","",""
"1200","","","","","","","","","","","","","3.2000885009765625","3.2000885009765625","3.2000885009765625","244","244","244","","","","","",""
"1210","","","","","","","","","","","","","3.2147327423095704","3.2147327423095704","3.2147327423095704","246","246","246","","","","","",""
"1220","","","","","","","","","","","","","3.1920192718505858","3.1920192718505858","3.1920192718505858","248","248","248","","","","","",""
"1230","","","","","","","","","","","","","3.251485061645508","3.251485061645508","3.251485061645508","250","250","250","","","","","",""
"1240","","","","","","","","","","","","","3.1990123748779298","3.1990123748779298","3.1990123748779298","252","252","252","","","","","",""
"1250","","","","","","","","","","","","","3.209646224975586","3.209646224975586","3.209646224975586","254","254","254","","","","","",""
"1260","","","","","","","","","","","","","3.203450393676758","3.203450393676758","3.203450393676758","256","256","256","","","","","",""
"1270","","","","","","","","","","","","","3.1156993865966798","3.1156993865966798","3.1156993865966798","258","258","258","","","","","",""
"1280","","","","","","","","","","","","","3.2114795684814452","3.2114795684814452","3.2114795684814452","260","260","260","","","","","",""
"1290","","","","","","","","","","","","","3.2514949798583985","3.2514949798583985","3.2514949798583985","262","262","262","","","","","",""
"1300","","","","","","","","","","","","","3.174209403991699","3.174209403991699","3.174209403991699","264","264","264","","","","","",""
"1310","","","","","","","","","","","","","3.179108428955078","3.179108428955078","3.179108428955078","266","266","266","","","","","",""
"1320","","","","","","","","","","","","","3.2362865447998046","3.2362865447998046","3.2362865447998046","268","268","268","","","","","",""
"1330","","","","","","","","","","","","","3.2562892913818358","3.2562892913818358","3.2562892913818358","270","270","270","","","","","",""
"1340","","","","","","","","","","","","","3.1777746200561525","3.1777746200561525","3.1777746200561525","272","272","272","","","","","",""
"1350","","","","","","","","","","","","","3.1821556091308594","3.1821556091308594","3.1821556091308594","274","274","274","","","","","",""
"1360","","","","","","","","","","","","","3.1733366012573243","3.1733366012573243","3.1733366012573243","276","276","276","","","","","",""
"1370","","","","","","","","","","","","","3.252930450439453","3.252930450439453","3.252930450439453","278","278","278","","","","","",""
"1380","","","","","","","","","","","","","3.178739547729492","3.178739547729492","3.178739547729492","280","280","280","","","","","",""
"1390","","","","","","","","","","","","","3.1972118377685548","3.1972118377685548","3.1972118377685548","282","282","282","","","","","",""
"1400","","","","","","","","","","","","","3.2089061737060547","3.2089061737060547","3.2089061737060547","284","284","284","","","","","",""
"1410","","","","","","","","","","","","","3.171384811401367","3.171384811401367","3.171384811401367","286","286","286","","","","","",""
"1420","","","","","","","","","","","","","3.2568294525146486","3.2568294525146486","3.2568294525146486","288","288","288","","","","","",""
"1430","","","","","","","","","","","","","3.2036415100097657","3.2036415100097657","3.2036415100097657","290","290","290","","","","","",""
"1440","","","","","","","","","","","","","3.2031497955322266","3.2031497955322266","3.2031497955322266","292","292","292","","","","","",""
"1450","","","","","","","","","","","","","3.2187885284423827","3.2187885284423827","3.2187885284423827","294","294","294","","","","","",""
"1460","","","","","","","","","","","","","3.1762086868286135","3.1762086868286135","3.1762086868286135","296","296","296","","","","","",""
"1470","","","","","","","","","","","","","3.135489845275879","3.135489845275879","3.135489845275879","298","298","298","","","","","",""
"1480","","","","","","","","","","","","","3.1216403961181642","3.1216403961181642","3.1216403961181642","300","300","300","","","","","",""
"1490","","","","","","","","","","","","","3.177708053588867","3.177708053588867","3.177708053588867","302","302","302","","","","","",""
"1500","","","","","","","","","","","","","0","0","0","305","305","305","","","","","",""
"1510","","","","","","","","","","","","","3.212746810913086","3.212746810913086","3.212746810913086","307","307","307","","","","","",""
"1520","","","","","","","","","","","","","3.1837663650512695","3.1837663650512695","3.1837663650512695","309","309","309","","","","","",""
"1530","","","","","","","","","","","","","3.2230575561523436","3.2230575561523436","3.2230575561523436","311","311","311","","","","","",""
"1540","","","","","","","","","","","","","3.2056350708007812","3.2056350708007812","3.2056350708007812","313","313","313","","","","","",""
"1550","","","","","","","","","","","","","3.1819616317749024","3.1819616317749024","3.1819616317749024","315","315","315","","","","","",""
"1560","","","","","","","","","","","","","3.098833465576172","3.098833465576172","3.098833465576172","317","317","317","","","","","",""
"1570","","","","","","","","","","","","","3.1652027130126954","3.1652027130126954","3.1652027130126954","319","319","319","","","","","",""
"1580","","","","","","","","","","","","","3.1458871841430662","3.1458871841430662","3.1458871841430662","321","321","321","","","","","",""
"1590","","","","","","","","","","","","","3.1274654388427736","3.1274654388427736","3.1274654388427736","323","323","323","","","","","",""
"1600","","","","","","","","","","","","","3.1420434951782226","3.1420434951782226","3.1420434951782226","325","325","325","","","","","",""
"1610","","","","","","","","","","","","","3.1148611068725587","3.1148611068725587","3.1148611068725587","327","327","327","","","","","",""
