"train/global_step","glad-glitter-9 - train/step_time","glad-glitter-9 - train/step_time__MIN","glad-glitter-9 - train/step_time__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/step_time","sleek-moon-7 - train/step_time__MIN","sleek-moon-7 - train/step_time__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/step_time","magic-universe-6 - train/step_time__MIN","magic-universe-6 - train/step_time__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/step_time","visionary-oath-5 - train/step_time__MIN","visionary-oath-5 - train/step_time__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","2.137484550476074","2.137484550476074","2.137484550476074","1","1","1","2.2016661167144775","2.2016661167144775","2.2016661167144775","1","1","1","","","","","","","","","","","",""
"1","","","","","","","","","","","","","2.228578805923462","2.228578805923462","2.228578805923462","2","2","2","2.1001603603363037","2.1001603603363037","2.1001603603363037","2","2","2"
"10","","","","","","","","","","","","","2.199479341506958","2.199479341506958","2.199479341506958","4","4","4","2.099735736846924","2.099735736846924","2.099735736846924","4","4","4"
"20","","","","","","","","","","","","","2.168498992919922","2.168498992919922","2.168498992919922","6","6","6","2.1427671909332275","2.1427671909332275","2.1427671909332275","6","6","6"
"30","","","","","","","","","","","","","2.1975932121276855","2.1975932121276855","2.1975932121276855","8","8","8","2.201045513153076","2.201045513153076","2.201045513153076","8","8","8"
"40","","","","","","","","","","","","","2.1853151321411133","2.1853151321411133","2.1853151321411133","10","10","10","2.2058002948760986","2.2058002948760986","2.2058002948760986","10","10","10"
"50","","","","","","","","","","","","","2.1845874786376953","2.1845874786376953","2.1845874786376953","12","12","12","2.1566884517669678","2.1566884517669678","2.1566884517669678","12","12","12"
"60","","","","","","","","","","","","","2.1870012283325195","2.1870012283325195","2.1870012283325195","14","14","14","2.187666177749634","2.187666177749634","2.187666177749634","14","14","14"
"70","","","","","","","","","","","","","2.1789441108703613","2.1789441108703613","2.1789441108703613","16","16","16","2.200927257537842","2.200927257537842","2.200927257537842","16","16","16"
"80","","","","","","","","","","","","","2.1907854080200195","2.1907854080200195","2.1907854080200195","18","18","18","2.1819205284118652","2.1819205284118652","2.1819205284118652","18","18","18"
"90","","","","","","","","","","","","","2.195979356765747","2.195979356765747","2.195979356765747","20","20","20","2.1957452297210693","2.1957452297210693","2.1957452297210693","20","20","20"
"100","","","","","","","","","","","","","2.177246570587158","2.177246570587158","2.177246570587158","22","22","22","2.184394598007202","2.184394598007202","2.184394598007202","22","22","22"
"110","","","","","","","","","","","","","2.185661792755127","2.185661792755127","2.185661792755127","24","24","24","2.185516119003296","2.185516119003296","2.185516119003296","24","24","24"
"120","","","","","","","","","","","","","2.1822614669799805","2.1822614669799805","2.1822614669799805","26","26","26","2.2055160999298096","2.2055160999298096","2.2055160999298096","26","26","26"
"130","","","","","","","","","","","","","2.174793004989624","2.174793004989624","2.174793004989624","28","28","28","2.177372932434082","2.177372932434082","2.177372932434082","28","28","28"
"140","","","","","","","","","","","","","2.1964776515960693","2.1964776515960693","2.1964776515960693","30","30","30","2.187471628189087","2.187471628189087","2.187471628189087","30","30","30"
"150","","","","","","","","","","","","","2.177335262298584","2.177335262298584","2.177335262298584","32","32","32","2.2031397819519043","2.2031397819519043","2.2031397819519043","32","32","32"
"160","","","","","","","","","","","","","2.532301425933838","2.532301425933838","2.532301425933838","34","34","34","2.180229902267456","2.180229902267456","2.180229902267456","34","34","34"
"170","","","","","","","","","","","","","2.2047781944274902","2.2047781944274902","2.2047781944274902","36","36","36","2.192509889602661","2.192509889602661","2.192509889602661","36","36","36"
"180","","","","","","","","","","","","","2.1752402782440186","2.1752402782440186","2.1752402782440186","38","38","38","2.2218663692474365","2.2218663692474365","2.2218663692474365","38","38","38"
"190","","","","","","","","","","","","","2.171631097793579","2.171631097793579","2.171631097793579","40","40","40","2.173428773880005","2.173428773880005","2.173428773880005","40","40","40"
"200","","","","","","","","","","","","","2.2107129096984863","2.2107129096984863","2.2107129096984863","42","42","42","2.1750826835632324","2.1750826835632324","2.1750826835632324","42","42","42"
"210","","","","","","","","","","","","","2.1753957271575928","2.1753957271575928","2.1753957271575928","44","44","44","2.2033708095550537","2.2033708095550537","2.2033708095550537","44","44","44"
"220","","","","","","","","","","","","","2.1834888458251953","2.1834888458251953","2.1834888458251953","46","46","46","2.5365145206451416","2.5365145206451416","2.5365145206451416","46","46","46"
"230","","","","","","","","","","","","","2.206390142440796","2.206390142440796","2.206390142440796","48","48","48","2.1770853996276855","2.1770853996276855","2.1770853996276855","48","48","48"
"240","","","","","","","","","","","","","2.190774917602539","2.190774917602539","2.190774917602539","50","50","50","2.205667734146118","2.205667734146118","2.205667734146118","50","50","50"
"250","","","","","","","","","","","","","2.1900899410247803","2.1900899410247803","2.1900899410247803","52","52","52","2.1802818775177","2.1802818775177","2.1802818775177","52","52","52"
"260","","","","","","","","","","","","","2.6067841053009033","2.6067841053009033","2.6067841053009033","54","54","54","","","","","",""
