"train/global_step","glad-glitter-9 - train/throughput_tokens_per_sec","glad-glitter-9 - train/throughput_tokens_per_sec__MIN","glad-glitter-9 - train/throughput_tokens_per_sec__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/throughput_tokens_per_sec","sleek-moon-7 - train/throughput_tokens_per_sec__MIN","sleek-moon-7 - train/throughput_tokens_per_sec__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/throughput_tokens_per_sec","magic-universe-6 - train/throughput_tokens_per_sec__MIN","magic-universe-6 - train/throughput_tokens_per_sec__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/throughput_tokens_per_sec","visionary-oath-5 - train/throughput_tokens_per_sec__MIN","visionary-oath-5 - train/throughput_tokens_per_sec__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","-14.970868441071424","-14.970868441071424","-14.970868441071424","1","1","1","-14.534447233876339","-14.534447233876339","-14.534447233876339","1","1","1","","","","","","","","","","","",""
"1","","","","","","","","","","","","","-14.358926825897043","-14.358926825897043","-14.358926825897043","2","2","2","-15.236931714526676","-15.236931714526676","-15.236931714526676","2","2","2"
"10","","","","","","","","","","","","","-14.548897730530818","-14.548897730530818","-14.548897730530818","4","4","4","-15.240013035189333","-15.240013035189333","-15.240013035189333","4","4","4"
"20","","","","","","","","","","","","","-14.756751146520681","-14.756751146520681","-14.756751146520681","6","6","6","-14.93396022461181","-14.93396022461181","-14.93396022461181","6","6","6"
"30","","","","","","","","","","","","","-14.561384619957918","-14.561384619957918","-14.561384619957918","8","8","8","-14.538545345279507","-14.538545345279507","-14.538545345279507","8","8","8"
"40","","","","","","","","","","","","","-14.643197005938113","-14.643197005938113","-14.643197005938113","10","10","10","-14.507206329754101","-14.507206329754101","-14.507206329754101","10","10","10"
"50","","","","","","","","","","","","","-14.648074436440119","-14.648074436440119","-14.648074436440119","12","12","12","-14.837562640900916","-14.837562640900916","-14.837562640900916","12","12","12"
"60","","","","","","","","","","","","","-14.63190764844628","-14.63190764844628","-14.63190764844628","14","14","14","-14.627460224720913","-14.627460224720913","-14.627460224720913","14","14","14"
"70","","","","","","","","","","","","","-14.68601229391692","-14.68601229391692","-14.68601229391692","16","16","16","-14.539326499958078","-14.539326499958078","-14.539326499958078","16","16","16"
"80","","","","","","","","","","","","","-14.606633713578022","-14.606633713578022","-14.606633713578022","18","18","18","-14.665978702391856","-14.665978702391856","-14.665978702391856","18","18","18"
"90","","","","","","","","","","","","","-14.572085981322617","-14.572085981322617","-14.572085981322617","20","20","20","-14.573639767881922","-14.573639767881922","-14.573639767881922","20","20","20"
"100","","","","","","","","","","","","","-14.69746258062552","-14.69746258062552","-14.69746258062552","22","22","22","-14.649367851940866","-14.649367851940866","-14.649367851940866","22","22","22"
"110","","","","","","","","","","","","","-14.640874496718238","-14.640874496718238","-14.640874496718238","24","24","24","-14.641850371981512","-14.641850371981512","-14.641850371981512","24","24","24"
"120","","","","","","","","","","","","","-14.663687410603744","-14.663687410603744","-14.663687410603744","26","26","26","-14.509075676671959","-14.509075676671959","-14.509075676671959","26","26","26"
"130","","","","","","","","","","","","","-14.714044015491337","-14.714044015491337","-14.714044015491337","28","28","28","-14.6966096268255","-14.6966096268255","-14.6966096268255","28","28","28"
